variable,value,queen,week,subject
fungus,0.3861,1,6,1_6
fungus,0.1,1,6,1_7
fungus,0.3058,5,6,5_1
fungus,0.1049,5,6,5_2
fungus,0.2424,5,6,5_3
fungus,0.3923,5,6,5_4
fungus,0.1,5,6,5_5
fungus,0.2058,10,6,10_1
fungus,0.2426,10,6,10_2
fungus,0.2824,10,6,10_3
fungus,0.1216,10,6,10_4
fungus,0.1523,10,6,10_5
fungus,0.2601,10,6,10_6
fungus,0.1,10,6,10_7
fungus,0.1,10,6,10_8
fungus,0.1776,0,7,0_1
fungus,0.2043,0,7,0_2
fungus,0.4697,0,7,0_3
fungus,0.1874,0,7,0_4
fungus,0.2546,0,7,0_5
fungus,0.3574,0,7,0_6
fungus,0.2426,1,7,1_1
fungus,0.1453,1,7,1_2
fungus,0.424,1,7,1_3
fungus,0.5606,1,7,1_4
fungus,0.1121,1,7,1_5
fungus,0.3794,1,7,1_6
fungus,0.1,1,7,1_7
fungus,0.3056,5,7,5_1
fungus,0.1102,5,7,5_2
fungus,0.2419,5,7,5_3
fungus,0.3404,5,7,5_4
fungus,0.1,5,7,5_5
fungus,0.2113,10,7,10_1
fungus,0.2334,10,7,10_2
fungus,0.2877,10,7,10_3
fungus,0.1113,10,7,10_4
fungus,0.2577,10,7,10_5
fungus,0.1,10,7,10_6
fungus,0.1,10,7,10_7
fungus,0.1,10,7,10_8
fungus,0.1593,0,8,0_1
fungus,0.1886,0,8,0_2
fungus,0.4314,0,8,0_3
fungus,0.1809,0,8,0_4
fungus,0.2519,0,8,0_5
fungus,0.3352,0,8,0_6
fungus,0.2386,1,8,1_1
fungus,0.1301,1,8,1_2
fungus,0.4058,1,8,1_3
fungus,0.5423,1,8,1_4
fungus,0.1226,1,8,1_5
fungus,0.422,1,8,1_6
fungus,0,1,8,1_7
fungus,0.2846,5,8,5_1
fungus,0.108,5,8,5_2
fungus,0.2375,5,8,5_3
fungus,0.3443,5,8,5_4
fungus,0,5,8,5_5
fungus,0.178,10,8,10_1
fungus,0.231,10,8,10_2
fungus,0.259,10,8,10_3
fungus,0.1047,10,8,10_4
fungus,0.2534,10,8,10_5
fungus,0,10,8,10_6
fungus,0,10,8,10_7
fungus,0,10,8,10_8
fungus,0.1445,0,9,0_1
fungus,0.1746,0,9,0_2
fungus,0.4131,0,9,0_3
fungus,0.1805,0,9,0_4
fungus,0.2471,0,9,0_5
